title,author,content
가장 낮은 사랑이 가장 깊은 사랑 , 박성철,<br>가장 낮은 사랑이<br>가장 깊은 사랑입니다<br>내 사랑의 크기만큼 그의 사랑이<br>같아야 한다고 요구하지 않으며<br>받아서 채워지는 사랑보다는<br>주면서 채워지는 사랑<br>그로 인해 알게 된 아픔과 슬픔에도<br>행복할 수 있는 사랑<br>그렇게 낮은 사랑이 가장 깊은 사랑입니다<br>내 가슴 비워 가는 사랑이<br>가장 절실한 사랑입니다<br>그가 보고픈 만큼 그가 그리운 만큼<br>내 가슴 오려 내주는 사랑<br>그와 같은 눈높이에 서서<br>나 자신을 하나하나 비워감에 따라<br>그 자리에 어느새<br>그가 하나 하나씩 쌓여 가는 그런 사랑이<br>가장 절실한 사랑입니다
가장 행복한 것은 무엇인가요? , 문영 ,<br>사랑은 재산을 소유하거나 물건을 갖는게 아니예요.<br>많은 것을 가지고 있을수록 근심만 늘어납니다.<br>사랑은 갖는 것이 아닙니다.<br>갖는다면 그것은 집착에 불과해요.<br>사랑은 주는 것입니다.<br>줄 수 없는 마음이라면 그것은 사랑이 아닙니다.<br>갓난아이에게 엄마는 젖을 주는게 아니예요.<br>엄마는 사랑을 주고 있어요.<br>튼튼히 자라달라고 하는 엄마의 마음의 사랑<br>마음을 열어보세요.<br>누가 소유되고 누가 소유하겠어요?<br>줄 수 있는 그 순간이 가장 행복하답니다.
가시나무 , 하덕규 ,내 속엔 내가 너무도 많아<br>당신의 쉴곳 없네<br>내 속엔 헛된 바램들로<br>당신의 편할 곳 없네<br>내 속엔 내가 어쩔 수 없는 어둠<br>당신의 쉴 자리를 뺏고<br>내 속엔 내가 이길 수 없는 슬픔<br>무성한 가시나무 숲 같네<br>바람만 불면 그 메마른 가지<br>서로 부대끼며 울어대고<br>쉴곳을 찾아 지쳐 날아온<br>어린 새들도 가시에 찔려 날아가고<br>바람만 불면 외롭고 또 괴로워<br>슬픈 노래를 부르던 날이 많았는데<br>내 속엔 내가 너무도 많아서<br>당신의 쉴 곳 없네
가끔씩 그대 마음 흔들릴 때는 , 이외수 ,<br>가끔씩 그대 마음 흔들릴 때는<br>한 그루 나무를 보라<br>바람 부는 날에는<br>바람 부는 쪽으로 흔들리나니<br>꽃 피는 날이 있다면<br>어찌 꽃 지는 날이 없으랴<br>온 세상을 뒤집는 바람에도<br>흔들리지 않는 뿌리<br>깊은 밤에도<br>소망은 하늘로 가지를 뻗어<br>달빛을 건지더라<br>더러는 인생에도 겨울이 찾아와<br>일기장 갈피마다<br>눈이 내리고<br>참담한 사랑마저 소식이 두절되더라<br>가끔씩 그대 마음 흔들릴 때는<br>침묵으로<br>세월의 깊은 강을 건너가는<br>한 그루 나무를 보라
가끔씩은 흔들려보는 거야 , 박성철,<br>가끔씩은 흔들려보는 거야<br>흐르는 눈물을 애써 막을 필요는 없어<br>그냥 내 슬픔을 보여주는 거야<br>자신에게까지 숨길 필요는 없어<br>물이 고이면 썩어들어가는 것처럼<br>작은 상심이 절망이 될 때까지 쌓아둘 필요는 없어<br>상심이 커져가 그것이 넘쳐날 땐<br>스스로 비울 수 있는 힘도 필요한 거야<br>삶이 흔들리는 건<br>아직도 흘릴 눈물이 남았다는 건<br>내 삶을 포기하지 않는다는 증거니까<br>가끔씩은 흔들려보는 거야<br>하지만 허물어지면 안 돼<br>지금 내게 기쁨이 없다고<br>모든 걸 포기할 필요는 없어<br>늦게 찾아온 기쁨은 그만큼 늦게 떠나가니까
가여워 마세요 , 미레이,<br>하루해가 저물어 남은 석양마저 그 빛을 거두어도<br>아쉬워하지 말아요<br>여름이 다 가 버린 쓸쓸한 들판에<br>여름내 지천으로 피었던 꽃들이 시들어 버려도<br>안타까워하지 말아요<br>달이 기울고<br>썰물이 다 빠져 나간 황량한 갯벌처럼<br>한 남자의 뜨겁던 사랑이 그토록 쉽게 식어 버려<br>이제 그대를 바라보는 눈빛이 차갑게만 느껴진다 할지라도<br>슬퍼하지 말아요<br>사랑은<br>바람에 뜯겨 이리저리 휘날리는<br>활짝 핀 꽃잎과도 같은 것<br>모든 것을 집어삼킬 듯 거센 폭풍우로 휘몰아쳐 왔다가<br>난파된 파편들만 여기저기 어지럽게 흩어 놓고<br>소리 없이 빠져 나가는 썰물과도 같은 것<br>이미 알고 있었던 것을<br>머리로는 이미 알고 있었던 것을<br>이제 와서야<br>이렇게 뒤늦게서야<br>가슴이 알게 된 것일뿐<br>그러므로<br>너무 많이 가슴 아파하지는 말아요
가지 않은 길 , 프로스트,"<br>노란 숲 속에 길이 두 갈래로 났었습니다.<br>나는 두 길을 다 가지 못하는 것을 안타깝게 생각하면서,<br>오랫동안 서서 한 길이 굽어 꺾여 내려간 데까지,<br>바라다볼 수 있는 데까지 멀리 바라다보았습니다.<br><br>그리고, 똑같이 아름다운 다른 길을 택했습니다.<br>그 길에는 풀이 더 있고 사람이 걸은 자취가 적어,<br>아마 더 걸어야 될 길이라고 나는 생각했었던 게지요.<br>그 길을 걸으므로, 그 길도 거의 같아질 것이지만.<br><br>그 날 아침 두 길에는<br>낙엽을 밟은 자취는 없었습니다.<br>아, 나는 다음 날을 위하여 한 길은 남겨 두었습니다.<br>길은 길에 연하여 끝없으므로<br>내가 다시 돌아올 것을 의심하면서......<br><br>훗날에 훗날에 나는 어디선가<br>한숨을 쉬며 이야기할 것입니다.<br>숲 속에 두 갈래 길이 있었다고,<br>나는 사람이 적게 간 길을 택하였다고,<br>그리고 그것 때문에 모든 것이 달라졌다고."
간이역의 국수 , 정재희 ,<br>밤 기차를 타고 싶다<br>어둠 저편을 향해<br>떠나는 밤 기차를<br>빛과 어둠을 갈라 놓는<br>절망의 길이만큼<br>사랑하고 말아버린<br>그대와 함께<br>밤 기차를 타고 싶다<br>기차가 쉬어가는<br>간이역에서<br>인연의 질긴<br>국수를 먹고 싶다
갈대 , 천상병,<br>환한 달빛 속에서<br>갈대와 나는<br>나란히 소리 없이 서 있었다.<br>불어오는 바람 속에서<br>안타까움을 달래며<br>서로 애터지게 바라보았다.<br>환한 달빛 속에서<br>갈대와 나는<br>눈물에 젖어 있었다.<br><br><br>
갈대 , 신경림,<br>언제부턴가 갈대는 속으로<br>조용히 울고 있었다<br>그런 어느 밤이었을 것이다 갈대는<br>그의 온몸이 흔들리고 있는 것을 알았다<br>바람도 달빛도 아닌 것<br>갈대는 저를 흔드는 것이<br>제 조용한<br>울음인 것을<br>까맣게 몰랐다<br>- 산다는 것은 속으로 이렇게<br>조용히 울고 있는 것이란 것을<br>그는 몰랐다
갈대 , 나호열,<br>힘을 주면 부러지기 쉽고<br>너무 힘을 빼면<br>영영 쓰러져 버린다<br>광막한 도회지의 한복판에서<br>다만 흔들리고 있을 뿐인<br>늪 속에 발목을 묻은<br>사람들이여!
갈망 , 한상현 ,<br>어떻게 내가<br>그대없이 살아갈 수 있겠습니까<br>그대를 이미 사랑했는데<br>어떻게 내가<br>전과 같을 수 있겠습니까<br>그대를 향한 갈망으로<br>내 마음 이렇게 부서졌는데<br>어떻게 내가<br>그대없이 살아갈 수 있겠습니까
"감사해요, 그대 ", 카렌 허시,"<br>우리는 서로의 사랑과 우정으로<br>축복을 받아왔어요.<br>나도, 내가 썼던 어떤 글도<br>당신이 나의 삶에 새겨준<br>변화를 표현하지는 못해요.<br>당신이 내게 주었던 행복과<br>깊은 사랑, 감사 그리고 이해를<br>나는 당신을 생각할 때마다 느껴요.<br>당신은 내게 물었지요.<br>당신과 함께 무엇을 하고 싶으냐고.<br>난 아무것도 바라지 않아요.<br>당신이 내게 소중하듯<br>나도 당신에게<br>소중했으면 하는 것밖엔.<br>연인이 되어주어서 고마워요.<br>그러나 무엇보다도<br>친구가 되어주어서 고마워요.<br>무슨 일에서나<br>당신을 온전히 믿고<br>존경하고 감사해요.<br>우리에겐 시간이 있어요.<br>우리의 내일을 간절히 기다리며<br>지난날들을 사랑하겠어요.<br>당신을 사랑해요."
강물 , 천상병,<br>강물이 모두 바다로 흐르는 그 까닭은<br>언덕에 서서<br>내가<br>온종일 울었다는 그 까닭만은 아니다<br>밤새<br>언덕에 서서<br>해바라기처럼 그리움에 피던<br>그 까닭만은 아니다<br>언덕에 서서<br>내가<br>짐승처럼 울고있는 그 까닭은<br>강물이 모두 바다로만 흐르는 까닭만은 아니다
강물에 띄워 보내는 추억 , 고은별 ,"이제 돌아서야 할 시간입니다.<br>그동안 간직했던 그대와의 기억들<br>강물에 한 줌 한 줌 띄워 보냅니다.<br>이것이 우리의 인연이겠지요.<br>수없이 많은 시간을<br>그대 생각하며 보냈습니다.<br>수없이 많은 밤들을<br>그대 그리워하며 눈물 흘렸습니다.<br>하지만<br>이제 다시는 만날 수 없음을 느낍니다.<br>그대와의 따스한 기억들,<br>아름다운 사랑 얘기들.<br>흘러가겠지요.<br>흐르다 흐르다 잊혀지겠지요.<br>시간이 지나고 나면<br>다시는 돌아오지 않는다는 것을<br>믿지 않았었지요.<br>그렇게 그대 다시 오리라 믿었었지요.<br>하지만 이제<br>그대와의 아름다운 시절은<br>다시 오지 않으리라는 것을 압니다.<br>저 흘러가는 강물처럼,<br>내 뺨에 흐르는 빗물처럼."
개여울 , 김소월,<br>당신은 무슨 일로<br>그리합니까?<br>홀로이 개여울에 주저앉아서<br>파릇한 풀포기가<br>돋아나오고<br>잔물은 봄바람에 해적일 때<br>가도 아주 가지는<br>않노라시던<br>그러한 약속이 있었겠지요<br>날마다 개여울에<br>나와 앉아서<br>하염없이 무엇을 생각합니다<br>가도 아주 가지는<br>않노라심은<br>굳이 잊지 말라는 부탁인지요
거기서 그를 보리니 , 김남조 ,<br>밤이 깊어도<br>돌아오지 않는 사람<br>더 깊은 밤에<br>어쩌면 희뿌연 새벽녘에라도<br>아버지가 오실 줄 믿고 기다리는가<br>그의 아이들<br>모두 깨어 있고<br>바깥은 습습한 밤비.<br>외등 하나<br>온밤을 골목길 비추느니<br>절통할 일이로고<br>심장 둘레의 곱디고운 혈관을 절개하고<br>그 여섯 시간 만에<br>오늘 같은 밤비 속을<br>낯설은 순례지<br>홀로 길떠난 사람<br>세상살이 이리도<br>깊고 광막한 타향인 곳인가<br>남의 자의 땅에도<br>익숙지 못한<br>실어증의 안개만 자욱하고<br>지평이 하늘에 닿은<br>가슴 안의 사막<br>그러나 해가 뜨면<br>동서남북을 새로이 배우련다<br>우물을 파서<br>새맑은 물거울에<br>모든 빛나는 것을 돌려오고<br>그 빛부신 중심에서<br>그를 항상 보리라
"겨울 나무, 겨울 숲 ", 신진호,"<br>지우고픈 얼굴 하나 있어<br>지우려 해도<br>지우지 못해<br>내 얼굴만 지우고<br>그리고픈 얼굴 하나 있어<br>그리려 해도<br>그릴 수 없어<br>내 얼굴만 그리고<br>그런 내가 싫어<br>고개 흔들며<br>눈물 뿌리니<br>역광에 부서지는<br>겨울 나무, 겨울 숲<br>"
겨울 숲은 따뜻하다 , 홍영철,<br>겨울 숲은 뜻밖에도 따뜻하다.<br>검은 나무들이 어깨를 맞대고 말없이 늘어서 있고<br>쉬지 않고 떠들며 부서지던 물들은 얼어붙어 있다.<br>깨어지다가 멈춘 돌멩이<br>썩어지다가 멈춘 낙엽이<br>막무가내로 움직이는 시간을 붙들어놓고 있다.<br>지금 세상은 불빛 아래에서도 낡아가리라.<br>발이 시리거든 겨울 숲으로 가라.<br>흐르다가 문득 정지하고 싶은 그때.
겨울 사랑 , 문정희 ,<br>눈송이처럼 너에게 가고 싶다.<br>머뭇거리지 말고<br>서성대지 말고<br>숨기지 말고<br>그냥 네 하얀 생애 속에 뛰어들어<br>따스한 겨울이 되고 싶다.<br>천년 백설이 되고 싶다.<br><br><br>
결혼이라는 것 , U. 샤퍼,"<br>혼자라는 것이 싫어<br>당신과<br>결혼하려는 것이 아닙니다.<br>결혼이<br>외로움을 없애줄 것이라고 상상할 만큼<br>어린애도 아닙니다.<br>숱한 애인들이, 부부들이<br>입버릇처럼 사랑한다고 되뇌지만<br>그 얼굴에선<br>언뜻언뜻<br>짙은 고독의 그림자가 비치는 것을<br>나는 보았습니다.<br>혼자라는 것,<br>애인이 없다는 것을<br>우리 겁내지 맙시다.<br>결혼해야 한다는 주위의 압력도<br>크게 걱정하지 맙시다.<br>우린<br>무엇보다 결혼해야 한다는 나름대로의 뚜렷한 이유를,<br>그것도 아니라면<br>혼자 살아가는 이유를 찾아내야 합니다.<br>우리의 인생은<br>우리 스스로 결정해야 하는 것이기 때문입니다."
계단 , 곽재구,"<br>강변에서<br>내가 사는 작은 오막살이집까지<br>이르는 숲길 사이에<br>어느 하루<br>마음먹고 나무계단 하나<br>만들었습니다<br>밟으면 삐걱이는<br>나무 울음소리가 산뻐꾸기 울음<br>소리보다 듣기 좋았습니다<br>언젠가는 당신이<br>이 계단을 밟고<br>내 오막살이집을 찾을 때<br>있겠지요<br>설령 그때 내게<br>나를 열렬히 사랑했던<br>신(神)이 찾아와<br>자, 이게 네가 그 동안 목마르게 찾았던 그 물건이야<br>하며 막 봇짐을 푸는 순간이라 해도<br>난 당신이 내 나무계단을 밟는 소리<br>놓치지 않고 들을 수 있습니다<br>그리고는 신(神)과는 상관없이<br>강변 숲길을 따라 달려가기 시작할 것입니다."
