subclass,contents
봄바람,<br>바람이 분다<br>삭막한 저 하늘에도<br>메마른 이 마음에도<br>이미 와버린 봄을<br>도로 내쫓기라도 하려는지<br>매섭게도 분다<br>바람이여<br>그리 하려거든<br>꽃잎도 함께 날려주오
없다,"<br>의심 한 조각 없는 맹목적인 사랑이었습니다<br>나는 그것이 청렴하고, 깨끗한 사랑이라 믿었지만요<br>스멀스멀 기어나온 불안감이 당신과 나 사이를 좀먹고,<br>형태가 없어진 사랑에 매달려 발버둥치다가<br>그만 끝없이 어둡고 더러운 틈으로 곤두박질치고 만 건<br>당신이 아닌 오직 나였습니다<br>나는 당신의 작은 것부터 존재하는 모두를<br>차근차근 한없이 사랑했지만요<br>검은 향이 나는 미소로 끝없이 내 마지막을 응시하는<br>썩어버린 당신의 눈동자 속에는 내가 없습니다"
붉은 덩어리,<br>나는 열심히 살고자 하지만<br>문득문득 죽고싶단 생각을 한다<br>아무도 모르는 붉은 덩어리가<br>내 몸 속 깊은 곳에서 숨쉬고 있는가보다<br>그 붉은 덩어리는<br>내 마음을 아프게 찔러올 때가 있다<br>심장을 힘차게 조이는 느낌이다<br>그 붉은 덩어리는<br>내가 감춰두고 숨겨놓은<br>조각조각 날카로운 기억들을<br>내가 다시 알아채고 느낄 수 있도록<br>데려온다<br>그것들이 내 몸 속에서 나를 공격할 때<br>나는 이 세상에 미련이 사라진다<br>그저 지금이 마침표를 찍을 때가 아닌가<br>라며 나를 부추긴다<br>오늘이 그런 밤이다<br>하루종일 살고자 버둥댔지만<br>나는 사실 죽고 싶은 것일지도 모른다<br>그런데 내가 용기가 없어서<br>죽고 싶은 마음을 희망이라 포장하며<br>꾸역꾸역 살아낸다
시간,"<br>11시 59분 11초, 12초...<br>점심 시간까지 고작 47초 남았는데 왜 이렇게 시간이 안가지?<br>11시 59분 14초, 15초...<br>마감 제출까지 44초나 남았는데 왜 이렇게 시간이 빨리가지?"
좋다,"<br>겨울이다. 겨울이면 코끝에 스며드는 차가운바람과, 특유의 겨울냄새가 난다.<br>미세먼지가 가득한 공기를 걷어내고  맑은 공기를  맡고 싶은 코는, 숨을 크게 들이마셔 본다.<br>한 해의 마무리 계절이기도 하고, 시작의 계절이기도 한 겨울.<br>난 그런 겨울을 사랑한다.<br>손,발이 시렵고 바람이 불어 귀가 떨어져 나갈 것 같아도 겨울이 좋다.<br>숨을 크게 들이쉴때 들어오는 차가운 공기도 좋다.<br>언제나 겨울이 좋다.<br>마주잡은 손 꼭 잡아도 덥지않으니까."
바보상자,<br>나는 글도 모르고<br>나는 말도 모르고<br>글을 늦게 깨우치신 할머니는<br>시를 쓸 줄도 모르고<br>시를 볼 줄도 모르고<br>그래서 눈으로만 모든 걸 설명하려 들었다가<br>서로의 답답함에 가슴을 두드렸다가<br>두드리는 노크 소리도 못 듣고<br>들리는 말들은 죄다 그러쥐어<br>손에 꼭 감춰두었다가<br>할말이 생기면 떨리는 손바닥을 펴서<br>검지 손가락으로 단어를 뒤적이며<br>말을 한 단어씩 꺼내<br>꼬깃꼬깃한 말들은 볼 품 없고<br>내가 하는 말에는 내가 없어<br>내가 입을 열 때면<br>엄마가  걸어나와서 아빠로 들어가고<br>꽁이가 마중나오고<br>언니였다가 내친구 우정이었다가<br>시궁창 썩은내였다가<br>봄날의 새싹의 향이었다가<br>햇살이었다가<br>밤이었다가<br>손에 힘을 주면<br>잘그락<br>잘그락<br>잘그락<br>잘그락<br>잘그락<br>그래서 나는 말도 하고<br>글도 쓰고<br>손을 잡고 부둥켜 안고<br>눈물 흘리고 자지러지게 웃을 수 있어<br>그럴 수 있어
싫다,<br>싫다<br>모의고사 구문에 그런 이야기가 있었다.<br>사람의 감정이 얼굴 표정에 영양을 받아서<br>연필을 입에 물고 있으면 기분이 좋아진다고<br>그래서 너무너무 화가나고 기분이 안 좋을때 연필을 물고있었더니<br>기분이 좋아져버린거야. 정확히 말하면 스스로가 너무 웃겼다고 할 수 있겠지<br>그뒤로 난 화를 오래 못 내는 사람이 되버렸어<br>화를 내다가도 붉은 천을 본 소처럼 쉬익쉬익 거리는 스스로가 너무 웃겨서 화를 오래 못 내겠더라고<br>화를 낸다라는 감정과는 별개로 싫다라는 생각이 들때가 있잖아<br>그런데 싫다는건 자기자신의 무언가를 타자에게서 투영해보았기 때문에 싫어하는 거래<br>결국 어떤 것을 싫어하면서 스스로가 싫어한는게 무엇인지 알게되는거지<br>보통 싫어하는건 내가 결핍을 느끼는 부분이더라고<br>내가 인정하기 싫은 나의 결핍있잖아 나의 비열한 욕망이라던지 천박함<br>양반같아지려고 노력하는 삶은 힘들고 귀찮지만 음음 장기적으로 봤을때 나은거지<br>왜냐면 더 나아지기 위해 노력하는 거니까
나,<br>나는 앞서간 고양이에게 시선을 빼앗겼다.<br>나는 차가운 봄이다.<br>나는 빠짐없이 모두에게 속삭였다.<br>나는 구름 속에서 허우적거렸다.<br>나는 쏟아지는 별똥별과 춤을 추었다.<br>나는 소나기다.<br>나는 울음을 참고 웃음 또한 참았다.<br>나는 마지못해 나 자신을 밀어냈다.<br>나는 망각에서 벗어나기 위해 힘껏 줄을 당겼다.<br>나는 조각난 마음을 쓸어모아 조용히 태워버렸다.<br>나는 계속해서 걸음을 옮겼다. 모두 아무 일 없는 듯 각자 제자리로 돌아가기 시작했다.<br>나는 거품이 되기 싫어 자신을 파괴하였다.<br>나는 시간을 먹고 공간을 헤엄친다.<br>나는 네 꿈속에 가기 위해 눈을 감았다.
여자,"<br>난 여자가 좋아<br>근육이 없어 물컹한 그 몸도<br>말라빠진 그 팔과 다리도<br>깃발처럼 날리는 얇은 머리카락도<br>사심없이 건네는 부드러운 손길도<br>언제나 우는 것 같이 들리는 목소리도<br>매일 얼굴에 칠하는 짙은 화장들도<br>커봤자 나무의 반틈밖에 되지 않는 키도<br>내 글을 보고 나약하게 울어버린 그 감정도<br>착하고 착한 존재라 날 불쌍히 여기는 것도<br>하지만 자신들은 챙기지 않는 그 안일함도<br>불행을 껴안는, 어딘가 미쳐있는 구석도<br>모두<br>좋아<br>난 여자들이 좋아<br>세상이 규정한 약점들을<br>죄다 가지고 있으면서<br>단단한 두 다리에<br>진흙을 묻히고<br>굳건히 서서<br>살아 남은.<br>세상에서 가장 강한 그 존재들이.<br>난 제일<br>좋아."
사람,<br>나의 겨울엔 귤 향기가 가득하다<br>땅거미가 파랗게 내려앉을 때쯤<br>온 가족이 거실에 옹기종기 모여앉아<br>이불 속으로 시린 발을 하나둘씩 넣으면<br>그 속에서 차가운 발들이 만나<br>하루의 온기를 나눈다<br>어젯밤 퇴근길에 아버지가 사 오신<br>바구니에 한가득 담긴 귤에서는<br>향긋한 내음이 가득하고<br>우리 어머니 손톱 밑에는<br>노오란 귤이 사랑으로 물들어 있다
사랑,<br>꽃이 시든다<br>나무가 시든다<br>별마저도 시들어<br>온 세상이 까만 밤<br>춥디 추운 겨울이라 그런지<br>영원할거라 믿었던<br>너마저도 시든다<br>견뎌내야만 하는<br>사랑의 말로
눈송이,<br>투명한 유리 속의 그는<br>찬 숨을 호흡한다.<br>공간에 닿은 숨이<br>하얗게 퍼지길 바라지만<br>일어나지 않는다.<br>조용히 끊어져가는 움직임을<br>눈으로 좇으며 최면을 건다.<br>가벼운 눈보라가<br>무슨 이유로 고통이 되는지<br>움직임이 버겁다.<br>춥지도 않은데<br>왜 이리도 추운지<br>정말이지<br>원한 적도 없건만<br>가로막은 것이 너무도 비대하다.<br>작게 불러보는 이름의 파동은<br>오로지 네가 눈을 감았을 때.<br>진짜의 모습은 영원히<br>서로에게 겹치지 않아<br>자꾸만 내리는 작은 눈송이.
고양이,<br>나는<br>온 세상 사람들이<br>전부 고양이었면 좋겠다<br>웃어도 애옹<br>울어도 애옹<br>화내도 애옹<br>그냥 그냥<br>듣고있으면<br>기분이 좋그든
꽃,<br>사람들은 그것을 꽃이라 부른다<br>눈이 마주치는 곳에서도 꽃이 피고<br>혀와 귀에서도 드문드문 피어난다<br>밤중 베갯잇에 피는 것을<br>사람들은 꽃이라고 한다<br>나는 꽃이라 보이지 않는다<br>꽃의 뿌리는 유년에 심긴다<br>꽃을 꽃이라 배운 이는 시들고<br>꽃을 기억이라 배운 이는 해묵은 상처를 본다<br>꽃을 꽃이라 가르친 이는 눈이 없는 반쪽이 되고<br>꽃을 기억이라 가르친 이는 그 자신이 흙이 되고<br>우리는 알지 못한다<br>꽃이 꽃으로 불리는 것은 무슨 이유인가<br>꽃이 꽃으로 남을 수 없는 것은 무슨 이유인가
이별,"<br>너는 말이 없다.<br>너는 웃고 있다.<br>나는 너의 웃음에 끝내 붙들고 있던 것들을 놓쳐 버렸다.<br>너의 평안함을 바라는 것도 잊은 채 외면한다.<br>무엇이 너를<br>왜 네가<br>수많은 물음 중 단 한 가지도 묻지 못하고 나는 그곳을 벗어났다.<br>내가 할 수 있는 건, 내가 해준 건 아무것도 없었기에.<br>너에게 지워진 짐이 남들보다 일찍 덜어진 거였구나.<br>묶인 족쇄를 풀고, 슬픔을 떨구고, 눈물을 쏟아내고.<br>그래서 너는 솜털보다 가벼이 홀로 날아갔던 거였구나.<br>너의 무거운 짐들은 이 땅에 전부 남겨두고 떠날 수 있기를.<br>너 혼자 감당하지 못했던 모든 것들은 남겨진 사람들이 조금씩 더 짊어질 테니 너만은 부디 끝까지 웃을 수 있기를.<br>나는 괜찮다.<br>나 역시 이 슬픔을 전부 내려놓을 수 있는 날 너와 다시 마주할 수 있게 될 테니."
사랑,"<br>처음에는 별 다른 관심도 없던 그대 였는데,<br>어느 순간부터  신경 쓰이기 시작하더니<br>내 머리와 마음 속을 지배 해 버렸네<br>그대에게 잘 보이기 위해 꾸미고<br>그대는 어떤 것을 좋아할지 고민하며,<br>그대를 만나는 전 날 밤이면 두근 거림에 설레며 잠든다.<br>학년의 끝이 다가올수록<br>이 순간이 끝나지 않기만을 바란다.<br>학년이 끝난 후에는<br>그대와 만날 구실도 없어 혼자 방에서 그대를 그리며 그리워만 한다.<br>그도 내가 보고싶을까- 하는 쓸데 없는 상상을 하며<br>학년이 시작되기를  기다린다<br>2020년의 그대는 어떨지,<br>2020년의 그대와 나 사이의 접점들을 기대하며<br>학년이 시작되기만을 기다린다"
만나다,"<br>눈 감고 누우면<br>가까워 지는 거리감에<br>장난치는 모습이 좋았다<br>머리카락에서 어렴풋이 느껴지는<br>작은 발, 보드라운 털, 까끌한 혀<br>내 옆에서 떠나지않는 너를 보며<br>언제부터 였는지<br>큰 존재감으로 가득찬다<br>너는 이미 내 반쪽이되어<br>내 삶에 스며들었고<br>생활의 기준이 되어 버린 존재<br>저 작은 눈 동자로 보는 세상이<br>나와 같기를<br>행복 하기를<br>눈 감고 누우면<br>어제와 같은 모습으로<br>함께 아침을 맞이 하고싶다"
어머니,<br>어머니를 업고 산책에 나섰다<br>나를 사랑하신 만큼<br>나를 위해 내놓으신 만큼<br>나로 인해 눈물 흘리신 만큼<br>점점 줄어갔을 무게는<br>당신께서 내게 부으신 사랑을 깨닫게 한다<br>어머니는 내게<br>당신의 것을 다 주시고는<br>혹 자신이 메말라갈지라도<br>나를 지극히 사랑하셨군요
인생,<br>아픔이 반복된다고 무뎌지나요.<br>아프지 않은 척 하는 데 무뎌질 뿐이죠.<br>우리는 반복되는 슬픔에 잔뜩 절여진 존재.<br>그래도 끊임없이 소금물을 빨아들이는 불쌍한 인생.
빈 책장,<br>책장 가득 기억들이 꽂혀있다<br>비워낸 자리에 쉽게 새 이야기를 채우지 못 한다<br>공간에는 보이지 않는 당신이 잠들어 있다<br>깨우지도 못하고 외면하지도 못하고<br>바라만 본다
탄식,<br>손가락 사이로 새어 나오는<br>막아보려고 해도 막아지지 않는<br>마음속 깊은 곳<br>끈적이는 덩어리들을 뭉쳐<br>발 밑으로 내뱉는다<br>뱉어내도<br>절대 개운해지지 않아<br>지금 내려앉는 건<br>발 밑?<br>아니면 나 자신?
해변,<br>서걱거리는 발소리와 거친 파도소리는 나만의 것이었다<br>파도가 몰래 나에게 장난을 건다<br>이 바다는 너만을 위한 거야<br>나는 그 속삭임을 철썩같이 믿는다<br>태양은 나만을 위해 지지 않았다<br>이 바다와 하늘은 오직 나만을 위해 존재한다<br>아무도 없는 해변을 걷는다<br>오직 나만을 위해
심장이 사과였다면,<br>심장이 사과였다면<br>괴로운 일이 있을 때<br>숨막히는 일이 있을 때<br>크게크게 다 먹어버려서<br>슬픈 감정도 아픈 감정도<br>다 없애버릴 수 있을텐데<br>심장이 사과였다면<br>힘든 일이 있을 때<br>더는 나아갈 수 없을 때<br>구석구석 난 상처들을 보면서<br>얼마나 힘들었는지<br>잘 버텨냈는지<br>깨닫게 해줄 수 있었을텐데<br>심장이 사과였다면<br>날카로운 말을 들을 때<br>상처되는 말을 들을 때<br>고이고이 잘 숨겨놓아서<br>더는 부서지지 않도록<br>눈물 흘리지 않도록<br>지켜줄 수 있었을텐데<br>심장이 사과였다면<br>심장이 사과였다면
바람,<br>겨울 - 너<br>잊힌 것이 많을 수록<br>발자국이 더 무거워진다는 건 학교에서도 가르쳐주지 않는다<br>들쑥날쑥한 눈밭을 걸었어<br>종아리까지 빠지는 바람에 집에 오기까지 온 다리가 다 젖었더라<br>너는 그걸 보고 말했지 넌 잊혀진 것이 많구나<br>잊혀지다는 문법적으로 틀린 말이래<br>잊지 않기 위해 눈 감았다<br>잊혀지지 않기 위해<br>잊혀지다<br>믿겨지다<br>쓰여지다<br>왜 틀린지 모르겠어<br>믿어지는 일이 있고<br>믿겨지는 일이 따로 있지 않니<br>쓰여지는 시가 있고 쓰이는 책이 있듯이<br>그렇게 말하는 네 눈을 감긴다<br>틀려도 맞는 것들이 있길<br>가령 네가 밤마다 행복하자고 암송하는 시처럼
흔적,"<br>언제나 차갑기만한 공간이라 생각했던 곳에<br>문득 온기가 느껴질 때,<br>떠나보내야 한다는 사실이 안타깝기만 합니다."
영정,"<br>매일같이 마주하는 얼굴이건만<br>할 말은 무어 그리 많은지<br>쉼 없이 재잘대는 음색 하나<br>마주한 두 얼굴엔<br>복사꽃 같은 미소 가득<br>지갑을 두고 와서 다시 집에 갔다 왔어<br>어젯밤엔 언니랑 한바탕 싸웠지 뭐야<br>우리 집 새가 알을 낳았어<br>어떤 말을 해야 너의 다른 얼굴을 볼 수 있을까<br>간간이 토해내던 일상이 멎는다<br>경쾌한 음색이 사라진 자리엔<br>뜨거운 침묵만이 남아 있다<br>들썩이는 어깨를 타고 흐르는 것은<br>제 풀에 못 이긴 흥인지<br>차마 뱉어내지 못한 눈물인지<br>매일같이 마주하던 두 얼굴은 이제<br>빛바랜 미소 하나, 눈부신 울음 하나<br>결국에는 그만 무너져 내린다<br>너의 영정 앞에서"
북극성,<br>한바탕 장비가 지난 뒤<br>풍겨오는 뒷산의 향긋한 흙내는<br>동네에서 함께 뛰놀던 어린 동무들의 냄새<br>철없던 시절 동네에서<br>제일 큰 아름드리 고목나무에서의 굿판을<br>그저 구경만 하던 어린 나의 옛 추억<br>밥을 안치는 구수한 냄새는<br>해 뜰 참 모락모락 김서리는 푼푼한 엄마의 인심을 먹고<br>잔달음으로 학교에 달려가던 옛 시절<br>어둔 밤하늘 환히 빛나는 개밥바라기별은<br>더운 여름날 할머니께서 말씀해주신<br>옛 사람들의 흔적<br>그 과거의 모든 것들은 이제<br>저녁 무렵 희미한 별처럼 사라져가고 있는데<br>제 품을 떠난 자식에 대한 부모님의 내리사랑은<br>마치 새벽 즈음의 환한 북극성의 빛
"생, 사",<br>숨<br>어렸을 때<br>아빠가 좋아서<br>아빠 숨이 오르내리는 것조차 따라 하고 싶었다.<br>일부러 숨을 참았다.<br>쿵쿵쿵<br>쿵       쿵       쿵<br>내가 세 번 숨을 내쉴 때<br>아빠는 한 번 숨을 내쉬었다.<br>크고 나서 알았다.<br>서서히 숨이 느려지고 결국 조용히 멎는다는 것을<br>우린 매 순간 생과 사를 넘나든다.
